nMsg,Date,Time
889,30-09-2013,19:59:18
890,30-09-2013,19:59:18
891,30-09-2013,19:59:19
892,30-09-2013,19:59:19
893,30-09-2013,19:59:19
894,30-09-2013,19:59:19
895,30-09-2013,19:59:19
896,30-09-2013,19:59:20
897,30-09-2013,19:59:20
898,30-09-2013,19:59:20
899,30-09-2013,19:59:20
900,30-09-2013,19:59:20
901,30-09-2013,19:59:20
902,30-09-2013,19:59:21
903,30-09-2013,19:59:21
904,30-09-2013,19:59:22
905,30-09-2013,19:59:22
906,30-09-2013,19:59:22
907,30-09-2013,19:59:22
908,30-09-2013,19:59:23
909,30-09-2013,19:59:23
910,30-09-2013,19:59:23
911,30-09-2013,19:59:23
912,30-09-2013,19:59:23
913,30-09-2013,19:59:24
914,30-09-2013,19:59:24
915,30-09-2013,19:59:29
916,30-09-2013,19:59:33
917,30-09-2013,19:59:34
918,30-09-2013,19:59:35
919,30-09-2013,19:59:35
920,30-09-2013,19:59:35
921,30-09-2013,19:59:35
922,30-09-2013,19:59:36
923,30-09-2013,19:59:36
924,30-09-2013,19:59:36
925,30-09-2013,19:59:37
926,30-09-2013,19:59:37
927,30-09-2013,19:59:37
928,30-09-2013,19:59:38
929,30-09-2013,19:59:38
930,30-09-2013,19:59:38
931,30-09-2013,19:59:38
